date,Volume,Open,High,Low,Close
2013-01-02,5677105,55.6,56.0,55.4,55.6
2013-01-03,9176439,56.0,57.4,56.0,56.7
2013-01-04,4297062,56.7,57.0,56.2,56.5
2013-01-07,3731514,56.5,57.2,55.9,56.9
2013-01-08,3431784,56.6,57.1,55.5,55.6
2013-01-09,2685315,55.5,56.5,55.4,55.8
2013-01-10,3668944,56.2,56.6,56.0,56.5
2013-01-11,2340917,56.5,56.6,56.1,56.5
2013-01-14,2285679,56.4,56.4,55.6,56.3
2013-01-15,3005835,56.3,56.9,55.8,56.2
2013-01-16,3149612,56.5,56.8,55.8,55.9
2013-01-17,4123162,55.9,56.5,53.6,54.3
2013-01-18,3092022,54.6,55.0,54.0,54.3
2013-01-21,1802021,54.4,54.7,53.9,54.7
2013-01-22,2196006,54.5,54.8,53.9,54.1
2013-01-23,3054174,54.5,54.7,53.9,53.9
2013-01-24,4637309,53.9,54.3,53.2,53.2
2013-01-25,5721937,53.7,53.7,52.6,52.7
2013-01-28,5111222,52.5,53.1,52.2,52.3
2013-01-29,7550299,52.8,54.3,52.8,54.3
2013-01-30,6692986,55.4,55.6,54.6,54.9
2013-01-31,2854872,54.8,54.8,54.4,54.8
2013-02-01,5965865,54.8,54.8,54.2,54.5
2013-02-04,4666778,55.1,55.3,54.6,54.6
2013-02-05,5455859,54.8,54.8,53.8,54.3
2013-02-06,4642833,54.6,54.9,53.7,53.8
2013-02-18,3301881,54.4,54.4,53.3,53.3
2013-02-19,1952818,53.5,54.3,53.2,54.1
2013-02-20,4768936,54.1,54.9,54.1,54.8
2013-02-21,3319029,55.1,55.1,54.4,54.6
2013-02-22,2340013,54.5,54.9,54.3,54.6
2013-02-23,3452060,54.9,55.3,54.3,55.0
2013-02-25,3590201,54.7,55.2,54.5,54.7
2013-02-26,3088279,54.3,54.5,53.8,53.8
2013-02-27,4526317,54.0,54.0,53.0,53.1
2013-03-01,3022161,53.5,54.2,53.4,53.9
2013-03-04,4085837,54.0,54.1,52.9,53.8
2013-03-05,2640552,53.9,54.2,53.6,54.1
2013-03-06,5678819,54.5,55.8,54.4,55.3
2013-03-07,3044297,55.3,55.7,54.9,55.0
2013-03-08,9521479,55.8,56.9,55.3,56.5
2013-03-11,7426498,56.9,57.2,56.0,56.0
2013-03-12,4101912,56.0,56.8,55.9,55.9
2013-03-13,3466031,55.9,57.0,55.7,55.7
2013-03-14,3824278,55.7,55.9,54.5,54.5
2013-03-15,4144889,54.5,54.9,53.5,53.5
2013-03-18,3687010,53.4,53.5,52.4,52.5
2013-03-19,2078145,52.7,53.6,52.7,53.0
2013-03-20,3180674,53.0,53.1,52.5,52.6
2013-03-21,2890531,52.6,53.8,52.6,53.4
2013-03-22,3071677,52.8,53.3,52.5,52.5
2013-03-25,1666968,52.8,53.5,52.8,53.3
2013-03-26,1767272,53.1,53.2,52.7,52.8
2013-03-27,2804319,52.8,53.1,52.6,52.8
2013-03-28,4180000,52.9,53.9,52.8,53.2
2013-03-29,1945493,53.8,53.8,53.0,53.4
