day,Nohr,Hor,Arr,rr
111.01,5353,0.3713,3022,16177805
111.01,50471,0.474,2616,132034354
111.02,5744,0.4412,3162,18162839
111.02,44197,0.4597,2995,132387422
111.03,6056,0.4201,2682,16243854
111.03,43547,0.4384,2813,122478475
111.04,5832,0.4181,2893,16871716
111.04,48623,0.4624,2672,129908658
111.05,4452,0.3088,2727,12142339
111.05,44466,0.4177,2539,112890059
111.06,6243,0.4475,2948,18407336
111.06,43148,0.4215,2558,110370503
111.07,7486,0.5393,3014,22562343
111.07,56317,0.5324,2489,140172079
111.08,8391,0.5821,2892,24264947
111.08,62348,0.5862,2613,162899166
111.09,8230,0.59,2913,23969867
111.09,57861,0.5534,2508,145123883
111.1,9533,0.6613,2869,27348203
111.1,48713,0.4519,2337,113842693
111.11,10226,0.733,2917,29828236
111.11,48249,0.4619,2221,107168350
111.12,9859,0.6839,2833,27935333
111.12,52557,0.4873,2343,123142130
